Grade,Min/Max,C,Al,Cu,Cr,Ni,Mg,Nb,Mn,Mo,Si,Ti,V,N,P,S,Fe,Name
1000,Min,0.4,0.02,0,0.35,0,0,0,1.35,0,0.15,0,0,0,0,0,0,SMnC 443
1000,Max,0.46,0.04,0.3,0.7,0.25,1,0.3,1.65,0.3,0.35,0.3,0.3,0.01,0.03,0.03,100,SMnC 443
2000,Min,0.05,0.02,0,0,0,0,0,0,0,0.15,0.006,0,0.003,0,0,0,50 [345] Type 5
2000,Max,0.23,0.04,0.3,0.3,0.3,1,0.3,1.35,0.3,0.4,0.04,0.06,0.015,0.04,0.05,100,50 [345] Type 5
3000,Min,0.05,0.02,0,1,0,0,0,0.4,0.45,0.5,0,0,0,0,0,0,13CrMoSi5-5
3000,Max,0.17,0.04,0.3,1.5,0.3,1,0.3,0.65,0.65,0.8,0.3,0.3,0.01,0.015,0.005,100,13CrMoSi5-5
4000,Min,0.15,0.02,0,0,0.4,0,0,1,0.45,0,0,0,0,0,0,0,20MnMoNi4-5
4000,Max,0.23,0.04,0.2,0.2,0.8,1,0.3,1.5,0.6,0.4,0.3,0.02,0.012,0.02,0.01,100,20MnMoNi4-5
5000,Min,0.4,0.7,0,1.3,0.25,0,0,0,0.15,0.15,0,0,0,0,0,0,SACM 645
5000,Max,0.5,1.2,0.3,1.7,0.25,1,0.3,0.6,0.3,0.5,0.3,0.3,0.01,0.03,0.03,100,SACM 645
6000,Min,0.05,0.02,0,0,0,0,0.015,0.9,0,0,0.02,0.02,0,0,0,0,E 355 DD
6000,Max,0.18,0.04,0.35,0.25,0.3,1,0.06,1.6,0.1,0.5,0.2,0.1,0.01,0.03,0.03,100,E 355 DD
7000,Min,0.05,0.02,0.3,0.4,0,0,0.005,0.5,0,0.25,0,0,0,0,0,0,ASTM A 588/A 588M-03a Grade K
7000,Max,0.17,0.04,0.5,0.7,0.4,1,0.05,1.2,0.3,0.5,0.3,0.3,0.01,0.04,0.05,100,ASTM A 588/A 588M-03a Grade K
8000,Min,0.47,0.02,0,0.8,0,0,0,0.6,0,0.1,0,0.1,0,0,0,0,51 CrV 4
8000,Max,0.55,0.04,0.3,1.1,0.3,1,0.3,1,0.3,0.4,0.3,0.25,0.01,0.035,0.035,100,51 CrV 4
9000,Min,0.05,0.02,0,18,8,0,0,0,0,0,0,0,0,0,0,0,TP304
9000,Max,0.08,0.04,0.3,20,11,1,0.3,2,0.3,1,0.3,0.3,0.01,0.045,0.03,100,TP304
10000,Min,0,0.02,0.1,22,3.5,0,0,0,0.1,0,0,0,0.05,0,0,0,X2CrNiN23-4
10000,Max,0.03,0.04,0.6,24,5.5,1,0.3,2,0.6,1,0.3,0.3,0.2,0.035,0.015,100,X2CrNiN23-4
